# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
50 2.475 0.9441 49.5271
30000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0302219 0.0111328
19 0.925 0.436496 0.19082
20 0.975 1.3973 0.829883
21 1.025 2.05995 1.87109
22 1.075 2.14051 3.06113
23 1.125 1.93798 4.24111
24 1.175 1.66175 5.34482
25 1.225 1.37386 6.33662
26 1.275 1.18219 7.26113
27 1.325 1.0446 8.14336
28 1.375 0.913429 8.97412
29 1.425 0.840262 9.79492
30 1.475 0.780907 10.6122
31 1.525 0.772444 11.4764
32 1.575 0.755526 12.3779
33 1.625 0.769794 13.3558
34 1.675 0.78878 14.4203
35 1.725 0.8202 15.5943
36 1.775 0.888825 16.9414
37 1.825 0.947034 18.4587
38 1.875 1.00842 20.1641
39 1.925 1.06837 22.0685
40 1.975 1.11162 24.1542
41 2.025 1.12493 26.3731
42 2.075 1.15233 28.7598
43 2.125 1.12356 31.2003
44 2.175 1.10709 33.7195
45 2.225 1.07081 36.2695
46 2.275 1.04286 38.8658
47 2.325 0.995218 41.4536
48 2.375 0.971753 44.0902
49 2.425 0.960335 46.8067
50 2.475 0.933461 49.5572
31000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0273058 0.0100586
19 0.925 0.431277 0.187598
20 0.975 1.40947 0.832227
21 1.025 2.0899 1.88857
22 1.075 2.12857 3.07197
23 1.125 1.93253 4.24863
24 1.175 1.65366 5.34697
25 1.225 1.37981 6.34307
26 1.275 1.15422 7.2457
27 1.325 1.01291 8.10117
28 1.375 0.922663 8.94033
29 1.425 0.859557 9.77998
30 1.475 0.804888 10.6224
31 1.525 0.761445 11.4742
32 1.575 0.75078 12.3701
33 1.625 0.771486 13.3501
34 1.675 0.781472 14.4048
35 1.725 0.830706 15.5938
36 1.775 0.896622 16.9527
37 1.825 0.945511 18.4676
38 1.875 1.00594 20.1687
39 1.925 1.05385 22.0473
40 1.975 1.11734 24.1438
41 2.025 1.13637 26.3853
42 2.075 1.13772 28.7416
43 2.125 1.12554 31.1864
44 2.175 1.09683 33.6823
45 2.225 1.05921 36.2047
46 2.275 1.03521 38.7819
47 2.325 1.01054 41.4096
48 2.375 0.97474 44.0543
49 2.425 0.958333 46.7651
50 2.475 0.944232 49.5474
32000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0336683 0.0124023
19 0.925 0.446459 0.196191
20 0.975 1.40307 0.837891
21 1.025 2.05821 1.87822
22 1.075 2.13278 3.06396
23 1.125 1.94841 4.25029
24 1.175 1.65381 5.34873
25 1.225 1.37264 6.33965
26 1.275 1.16321 7.24932
27 1.325 1.04124 8.12871
28 1.375 0.918368 8.96396
29 1.425 0.828166 9.77295
30 1.475 0.775868 10.585
31 1.525 0.756644 11.4314
32 1.575 0.774595 12.3558
33 1.625 0.765489 13.3281
34 1.675 0.793339 14.3988
35 1.725 0.839848 15.601
36 1.775 0.882317 16.9382
37 1.825 0.950692 18.4613
38 1.875 1.01934 20.1852
39 1.925 1.08453 22.1184
40 1.975 1.10365 24.1892
41 2.025 1.13013 26.4184
42 2.075 1.13993 28.7793
43 2.125 1.12307 31.2188
44 2.175 1.08752 33.6935
45 2.225 1.06663 36.2335
46 2.275 1.02826 38.7935
47 2.325 0.998373 41.3895
48 2.375 0.982515 44.0553
49 2.425 0.965514 46.7864
50 2.475 0.937206 49.5479
33000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0334032 0.0123047
19 0.925 0.435072 0.191406
20 0.975 1.3736 0.819629
21 1.025 2.06806 1.86494
22 1.075 2.1514 3.06104
23 1.125 1.93076 4.23662
24 1.175 1.62749 5.31758
25 1.225 1.41458 6.33877
26 1.275 1.17108 7.25459
27 1.325 1.04298 8.13545
28 1.375 0.89292 8.94756
29 1.425 0.833164 9.76143
30 1.475 0.808713 10.6078
31 1.525 0.761533 11.4598
32 1.575 0.773613 12.3829
33 1.625 0.76203 13.3509
34 1.675 0.789431 14.4163
35 1.725 0.836164 15.6132
36 1.775 0.889534 16.9613
37 1.825 0.938928 18.4656
38 1.875 1.00282 20.1615
39 1.925 1.05681 22.0453
40 1.975 1.11271 24.1331
41 2.025 1.13558 26.373
42 2.075 1.14054 28.7353
43 2.125 1.12675 31.1827
44 2.175 1.09722 33.6795
45 2.225 1.06524 36.2162
46 2.275 1.04415 38.8157
47 2.325 1.00243 41.4223
48 2.375 0.974776 44.0671
49 2.425 0.960784 46.7849
50 2.475 0.94168 49.5596
34000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.000894606 0.000292969
18 0.875 0.0281011 0.0106445
19 0.925 0.445748 0.194141
20 0.975 1.40264 0.835645
21 1.025 2.05493 1.87432
22 1.075 2.15105 3.07021
23 1.125 1.91184 4.23428
24 1.175 1.65646 5.33447
25 1.225 1.38928 6.3374
26 1.275 1.16571 7.24902
27 1.325 1.0232 8.11318
28 1.375 0.913429 8.94395
29 1.425 0.845761 9.77012
30 1.475 0.790425 10.5974
31 1.525 0.771659 11.4606
32 1.575 0.760764 12.3685
33 1.625 0.756955 13.33
34 1.675 0.797825 14.4067
35 1.725 0.83057 15.5956
36 1.775 0.890694 16.9455
37 1.825 0.938806 18.4496
38 1.875 1.01997 20.1745
39 1.925 1.06914 22.0803
40 1.975 1.11037 24.1637
41 2.025 1.1479 26.4279
42 2.075 1.13069 28.7697
43 2.125 1.11997 31.2024
44 2.175 1.09044 33.6838
45 2.225 1.07381 36.2409
46 2.275 1.02207 38.7854
47 2.325 0.992664 41.3666
48 2.375 0.97456 44.0108
49 2.425 0.964098 46.738
50 2.475 0.940984 49.5106
35000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.032873 0.0121094
19 0.925 0.421788 0.185742
20 0.975 1.41524 0.833008
21 1.025 2.04836 1.86836
22 1.075 2.15843 3.06836
23 1.125 1.94071 4.25
24 1.175 1.62779 5.33115
25 1.225 1.37832 6.32617
26 1.275 1.17133 7.24219
27 1.325 1.02922 8.11143
28 1.375 0.928998 8.95635
29 1.425 0.851559 9.78818
30 1.475 0.792011 10.6171
31 1.525 0.760922 11.4684
32 1.575 0.748816 12.3619
33 1.625 0.773561 13.3445
34 1.675 0.79124 14.4124
35 1.725 0.828591 15.5984
36 1.775 0.882317 16.9356
37 1.825 0.953922 18.464
38 1.875 0.997276 20.1505
39 1.925 1.06437 22.0478
40 1.975 1.10678 24.1244
41 2.025 1.14266 26.3783
42 2.075 1.15804 28.7768
43 2.125 1.12882 31.2287
44 2.175 1.09443 33.7191
45 2.225 1.0656 36.2567
46 2.275 1.02673 38.8129
47 2.325 0.999049 41.4106
48 2.375 0.972977 44.0506
49 2.425 0.958195 46.761
50 2.475 0.945757 49.5478
36000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0288964 0.0106445
19 0.925 0.427481 0.186621
20 0.975 1.38172 0.818555
21 1.025 2.03135 1.84531
22 1.075 2.21587 3.07725
23 1.125 1.93638 4.25625
24 1.175 1.63896 5.34482
25 1.225 1.39401 6.35117
26 1.275 1.16171 7.25967
27 1.325 1.0261 8.12627
28 1.375 0.919656 8.9627
29 1.425 0.837363 9.78066
30 1.475 0.797703 10.6155
31 1.525 0.76389 11.4701
32 1.575 0.762319 12.3798
33 1.625 0.771101 13.3593
34 1.675 0.795654 14.4331
35 1.725 0.837461 15.6318
36 1.775 0.868657 16.9483
37 1.825 0.935209 18.4467
38 1.875 0.997912 20.1343
39 1.925 1.06185 22.0271
40 1.975 1.10553 24.1014
41 2.025 1.14102 26.3521
42 2.075 1.15045 28.7348
43 2.125 1.12959 31.1884
44 2.175 1.11039 33.7151
45 2.225 1.07196 36.2679
46 2.275 1.04015 38.8574
47 2.325 1.00157 41.4617
48 2.375 0.963583 44.0762
49 2.425 0.947872 46.7574
50 2.475 0.952385 49.5637
37000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.000298202 9.76563e-05
18 0.875 0.0294266 0.0109375
19 0.925 0.436496 0.190625
20 0.975 1.39688 0.829492
21 1.025 2.04159 1.86143
22 1.075 2.20252 3.08594
23 1.125 1.90462 4.24561
24 1.175 1.63087 5.32881
25 1.225 1.3817 6.32627
26 1.275 1.18132 7.2501
27 1.325 1.03107 8.1209
28 1.375 0.905483 8.94443
29 1.425 0.843461 9.76836
30 1.475 0.805821 10.6117
31 1.525 0.761096 11.4632
32 1.575 0.773613 12.3863
33 1.625 0.757878 13.349
34 1.675 0.788201 14.4128
35 1.725 0.829956 15.6008
36 1.775 0.885603 16.943
37 1.825 0.949229 18.4638
38 1.875 0.999124 20.1534
39 1.925 1.07489 22.0694
40 1.975 1.10808 24.1485
41 2.025 1.12879 26.3751
42 2.075 1.15266 28.7624
43 2.125 1.13206 31.2214
44 2.175 1.08671 33.6942
45 2.225 1.05597 36.2089
46 2.275 1.0234 38.7567
47 2.325 1.00851 41.3791
48 2.375 0.979995 44.0381
49 2.425 0.961716 46.7585
50 2.475 0.950894 49.5604
38000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0296917 0.0109375
19 0.925 0.439105 0.191699
20 0.975 1.37083 0.818652
21 1.025 2.05976 1.85977
22 1.075 2.1456 3.05264
