DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (42.08 42.08 42.08)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.031 seconds
2048 atoms in group Ar
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 31 31 31
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.287 | 3.287 | 3.287 Mbytes
   Step          Temp          Press          Volume         TotEng    
     26600   2.078098       5.1518797      2673.9246     -1.0679243    
     26700   2.0746044      5.1416058      2673.9246     -1.0667677    
     26800   2.0670161      5.2378318      2673.9246     -1.0665122    
     26900   2.0717346      5.1827298      2673.9246     -1.0677066    
     27000   2.1065178      5.0167127      2673.9246     -1.0684015    
     27100   2.0525247      5.3239028      2673.9246     -1.0681464    
     27200   2.0892606      5.0520151      2673.9246     -1.067987     
     27300   2.0964922      5.0583069      2673.9246     -1.0677731    
     27400   2.1077276      4.9773417      2673.9246     -1.0681824    
     27500   2.0754974      5.2128348      2673.9246     -1.068177     
     27600   2.0537101      5.3553085      2673.9246     -1.067202     
     27700   2.0362649      5.3513376      2673.9246     -1.0661933    
     27800   2.080884       5.1208926      2673.9246     -1.0678494    
     27900   2.0652069      5.2296039      2673.9246     -1.0673862    
     28000   2.0678456      5.2193494      2673.9246     -1.0677087    
     28100   2.0296488      5.4006011      2673.9246     -1.0679541    
     28200   2.0510966      5.2603605      2673.9246     -1.0666694    
     28300   2.0893272      5.0615969      2673.9246     -1.067803     
     28400   2.0728265      5.1878099      2673.9246     -1.0681093    
     28500   2.0620753      5.1514676      2673.9246     -1.0670803    
