# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 100
45 2.136 0 0 0 0 3.96185 3.9625
46 2.184 0 0 0 0 2.88169 4.41875
47 2.232 0 0 0 0 2.45672 4.825
48 2.28 0 0 0 0 1.91972 5.15625
49 2.328 0 0 0 0 1.14652 5.3625
50 2.376 0 0 0.0667067 0.00625 0.800481 5.5125
51 2.424 0.546911 0.025 0.192273 0.025 0.672957 5.64375
52 2.472 0.262939 0.0375 0.308132 0.05625 0.523824 5.75
53 2.52 1.26509 0.1 0.53371 0.1125 0.237205 5.8
54 2.568 2.43648 0.225 0.571051 0.175 0.399736 5.8875
55 2.616 2.34789 0.35 1.54081 0.35 0.165086 5.925
56 2.664 3.39607 0.5375 1.43272 0.51875 0.106127 5.95
57 2.712 3.71385 0.75 2.25289 0.79375 0.128005 5.98125
58 2.76 3.79673 0.975 2.91676 1.1625 0.0494366 5.99375
59 2.808 3.26048 1.175 3.10446 1.56875 0.0238805 6
60 2.856 2.56084 1.3375 3.32417 2.01875 0 6
61 2.904 3.8106 1.5875 3.57243 2.51875 0.0223277 6.00625
62 2.952 1.29069 1.675 3.7165 3.05625 0.0648226 6.025
63 3 1.78531 1.8 3.0964 3.51875 0.104608 6.05625
64 3.048 0.691811 1.85 3.20233 4.0125 0.0202679 6.0625
65 3.096 0.670526 1.9 2.82878 4.4625 0.117866 6.1
66 3.144 1.46297 2.0125 2.0573 4.8 0.190491 6.1625
67 3.192 0.788501 2.075 1.7002 5.0875 0.258727 6.25
68 3.24 0.918374 2.15 1.29146 5.3125 0.304929 6.35625
69 3.288 1.18901 2.25 0.870855 5.46875 0.627016 6.58125
70 3.336 0 2.25 1.11669 5.675 0.727539 6.85
71 3.384 0.280626 2.275 0.657718 5.8 0.855033 7.175
72 3.432 0.818494 2.35 0.447614 5.8875 1.13502 7.61875
73 3.48 0.132679 2.3625 0.155483 5.91875 1.29051 8.1375
74 3.528 0.129093 2.375 0.181537 5.95625 1.45229 8.7375
75 3.576 0 2.375 0.0883481 5.975 1.22215 9.25625
76 3.624 0 2.375 0.0860233 5.99375 1.67745 9.9875
77 3.672 0 2.375 0.195508 6.0375 1.36855 10.6
78 3.72 0 2.375 0.108854 6.0625 1.4015 11.2438
79 3.768 0 2.375 0.291771 6.13125 1.3395 11.875
80 3.816 0 2.375 0.568955 6.26875 0.943947 12.3313
81 3.864 0 2.375 0.554907 6.40625 0.781915 12.7188
82 3.912 0 2.375 0.984315 6.65625 0.689021 13.0687
83 3.96 0 2.375 1.84915 7.1375 0.456284 13.3063
84 4.008 0 2.375 1.96923 7.6625 0.468864 13.5563
85 4.056 0 2.375 1.46506 8.0625 0.423495 13.7875
86 4.104 0 2.375 1.72166 8.54375 0.413647 14.0188
87 4.152 0 2.375 1.81316 9.0625 0.567978 14.3438
88 4.2 0 2.375 1.60116 9.53125 0.587093 14.6875
89 4.248 0 2.375 1.56518 10 0.980848 15.275
90 4.296 0 2.375 1.34675 10.4125 1.24473 16.0375
91 4.344 0 2.375 1.21737 10.7937 1.58657 17.0312
92 4.392 0.0832985 2.3875 0.937108 11.0938 1.7766 18.1687
93 4.44 0 2.3875 0.745027 11.3375 2.06315 19.5188
94 4.488 0.239319 2.425 0.710479 11.575 2.13144 20.9438
95 4.536 0.156187 2.45 0.439277 11.725 2.44348 22.6125
96 4.584 0.458801 2.525 0.573501 11.925 2.43738 24.3125
97 4.632 0.374451 2.5875 0.526572 12.1125 2.56265 26.1375
