# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 100
84 4.008 0 4 0 12 0.0118685 16.0063
85 4.056 0 4 0 12 0 16.0063
86 4.104 0 4 0 12 0.0226396 16.0188
87 4.152 0 4 0 12 0.0663574 16.0562
88 4.2 0 4 0 12 0.151315 16.1438
89 4.248 0 4 0 12 0.61279 16.5063
90 4.296 0 4 0 12 0.805785 16.9937
91 4.344 0 4 0 12 1.63677 18.0063
92 4.392 0 4 0 12 2.12504 19.35
93 4.44 0 4 0 12 2.63061 21.05
94 4.488 0 4 0 12 2.67876 22.8188
95 4.536 0 4 0 12 2.78916 24.7
96 4.584 0 4 0 12 1.95983 26.05
97 4.632 0 4 0 12 1.19075 26.8875
98 4.68 0 4 0 12 0.896601 27.5312
99 4.728 0 4 0 12 0.503212 27.9
100 4.776 0 4 0 12 0.0835844 27.9625
50400 100
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
5 0.216 0 0 0 0 0 0
6 0.264 0 0 0 0 0 0
7 0.312 0 0 0 0 0 0
8 0.36 0 0 0 0 0 0
9 0.408 0 0 0 0 0 0
10 0.456 0 0 0 0 0 0
11 0.504 0 0 0 0 0 0
12 0.552 0 0 0 0 0 0
13 0.6 0 0 0 0 0 0
14 0.648 0 0 0 0 0 0
15 0.696 0 0 0 0 0 0
16 0.744 0 0 0 0 0 0
17 0.792 0 0 0 0 0 0
18 0.84 0 0 0 0 0 0
19 0.888 0 0 0 0 0 0
20 0.936 0 0 0 0 0 0
21 0.984 0 0 0 0 0 0
22 1.032 0 0 0 0 0 0
23 1.08 0 0 0 0 0 0
24 1.128 0 0 0 0 0 0
25 1.176 0 0 0 0 0 0
26 1.224 0 0 0 0 0 0
27 1.272 0 0 0 0 0 0
28 1.32 0 0 0 0 0 0
29 1.368 0 0 0 0 0 0
30 1.416 0 0 0 0 0 0
31 1.464 0 0 0 0 0 0
32 1.512 0 0 0 0 0 0
33 1.56 0 0 0 0 0 0
34 1.608 0 0 0 0 0 0
35 1.656 0 0 0 0 0 0
36 1.704 0 0 0 0 0 0
37 1.752 0 0 0 0 0 0
38 1.8 0 0 0 0 0.411893 0.04375
39 1.848 0 0 0 0 2.51213 0.325
40 1.896 0 0 0 0 9.01585 1.3875
41 1.944 0 0 0 0 10.6445 2.70625
42 1.992 0 0 0 0 6.43817 3.54375
43 2.04 0 0 0 0 2.42802 3.875
44 2.088 0 0 0 0 0.568487 3.95625
45 2.136 0 0 0 0 0.292506 4
46 2.184 0 0 0 0 0 4
47 2.232 0 0 0 0 0 4
48 2.28 0 0 0 0 0 4
49 2.328 0 0 0 0 0 4
50 2.376 0 0 0 0 0 4
51 2.424 0 0 0 0 0 4
52 2.472 0 0 0 0 0 4
53 2.52 0 0 0 0 0 4
54 2.568 0 0 0 0 0 4
55 2.616 0 0 0 0 0 4
56 2.664 0 0 0 0 0 4
57 2.712 0 0 0 0 0 4
58 2.76 0 0 0 0 0 4
59 2.808 0 0 0 0 0 4
60 2.856 0 0 0 0 0 4
61 2.904 0 0 0 0 0 4
62 2.952 0 0 0 0 0 4
63 3 0 0 0 0 0 4
64 3.048 0 0 0 0 0.0410439 4.0125
65 3.096 0 0 0 0 0.0198906 4.01875
66 3.144 0 0 0.231454 0.0375 0.115727 4.05625
67 3.192 0 0 0.711062 0.15625 0.205834 4.125
68 3.24 0 0 1.59824 0.43125 0.454046 4.28125
69 3.288 0 0 3.28019 1.0125 1.41084 4.78125
70 3.336 0 0 4.48848 1.83125 2.41556 5.6625
71 3.384 0.568288 0.05 7.0925 3.1625 3.08008 6.81875
72 3.432 0.828755 0.125 9.77671 5.05 3.78767 8.28125
73 3.48 2.55249 0.3625 10.422 7.11875 4.75444 10.1687
74 3.528 4.31347 0.775 8.11838 8.775 4.70254 12.0875
75 3.576 7.76077 1.5375 6.82844 10.2063 3.23531 13.4437
76 3.624 6.6894 2.2125 4.20991 11.1125 2.26464 14.4187
77 3.672 6.75698 2.9125 2.57346 11.6813 1.45641 15.0625
78 3.72 5.2905 3.475 0.964414 11.9 1.01952 15.525
79 3.768 3.6669 3.875 0.349143 11.9812 0.590857 15.8
80 3.816 0.670355 3.95 0.0523715 11.9938 0.314229 15.95
81 3.864 0.435869 4 0.0255392 12 0.0893873 15.9938
82 3.912 0 4 0 12 0.0124582 16
83 3.96 0 4 0 12 0 16
84 4.008 0 4 0 12 0 16
85 4.056 0 4 0 12 0 16
86 4.104 0 4 0 12 0.0113198 16.0063
87 4.152 0 4 0 12 0.0995361 16.0625
88 4.2 0 4 0 12 0.18374 16.1687
89 4.248 0 4 0 12 0.401483 16.4062
90 4.296 0 4 0 12 0.836777 16.9125
91 4.344 0 4 0 12 1.30336 17.7188
92 4.392 0 4 0 12 2.46109 19.275
93 4.44 0 4 0 12 2.80469 21.0875
94 4.488 0 4 0 12 2.82075 22.95
95 4.536 0 4 0 12 2.53897 24.6625
96 4.584 0 4 0 12 2.09593 26.1062
