# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.00362335 0.0008
38 0.9375 0.052134 0.01295
39 0.9625 0.283943 0.0827
40 0.9875 0.879054 0.31
41 1.0125 1.66556 0.76275
42 1.0375 2.43466 1.45765
43 1.0625 2.8765 2.3187
44 1.0875 2.98669 3.2553
45 1.1125 2.86494 4.1955
46 1.1375 2.56012 5.07385
47 1.1625 2.29059 5.89465
48 1.1875 1.9641 6.62905
49 1.2125 1.69847 7.29115
50 1.2375 1.4488 7.87945
51 1.2625 1.26019 8.41205
52 1.2875 1.09934 8.89525
53 1.3125 0.959343 9.33345
54 1.3375 0.883866 9.7527
55 1.3625 0.807034 10.15
56 1.3875 0.732472 10.5239
57 1.4125 0.684185 10.8858
58 1.4375 0.642709 11.238
59 1.4625 0.614577 11.5865
60 1.4875 0.580457 11.927
61 1.5125 0.579397 12.2785
62 1.5375 0.576344 12.6397
63 1.5625 0.589639 13.0214
64 1.5875 0.58371 13.4115
65 1.6125 0.609483 13.8317
66 1.6375 0.627232 14.2776
67 1.6625 0.653608 14.7566
68 1.6875 0.68511 15.2739
69 1.7125 0.730132 15.8417
70 1.7375 0.761492 16.4512
71 1.7625 0.836745 17.1404
72 1.7875 0.890817 17.8952
73 1.8125 0.924043 18.7
74 1.8375 0.991502 19.5877
75 1.8625 1.04215 20.5463
76 1.8875 1.09835 21.5838
77 1.9125 1.15175 22.7008
78 1.9375 1.16632 23.8617
79 1.9625 1.19829 25.0854
80 1.9875 1.23068 26.3744
81 2.0125 1.25235 27.7193
82 2.0375 1.27037 29.1177
83 2.0625 1.28262 30.5643
84 2.0875 1.28272 32.0465
85 2.1125 1.27908 33.56
86 2.1375 1.25189 35.0765
87 2.1625 1.23864 36.6124
88 2.1875 1.17688 38.1056
89 2.2125 1.15413 39.6036
90 2.2375 1.11191 41.0796
91 2.2625 1.0692 42.5308
92 2.2875 1.01118 43.9338
93 2.3125 0.983759 45.3286
94 2.3375 0.951888 46.7077
95 2.3625 0.918098 48.0664
96 2.3875 0.892521 49.4154
97 2.4125 0.86725 50.7537
98 2.4375 0.845013 52.0849
99 2.4625 0.839916 53.4354
100 2.4875 0.827964 54.7938
6000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.00271751 0.0006
38 0.9375 0.0487013 0.01195
39 0.9625 0.279262 0.08055
40 0.9875 0.846761 0.2995
41 1.0125 1.69352 0.75985
42 1.0375 2.44044 1.4564
43 1.0625 2.91107 2.3278
44 1.0875 2.96038 3.25615
45 1.1125 2.85199 4.1921
46 1.1375 2.57193 5.0745
47 1.1625 2.28571 5.89355
48 1.1875 1.9772 6.63285
49 1.2125 1.67089 7.2842
50 1.2375 1.4403 7.86905
51 1.2625 1.23878 8.3926
52 1.2875 1.10946 8.88025
53 1.3125 0.995795 9.3351
54 1.3375 0.879965 9.7525
55 1.3625 0.795556 10.1441
56 1.3875 0.734137 10.5189
57 1.4125 0.688438 10.8831
58 1.4375 0.650192 11.2393
59 1.4625 0.623305 11.5928
60 1.4875 0.584633 11.9358
61 1.5125 0.571566 12.2825
62 1.5375 0.595488 12.6558
63 1.5625 0.582224 13.0327
64 1.5875 0.582588 13.422
65 1.6125 0.596138 13.833
66 1.6375 0.618231 14.2725
67 1.6625 0.654154 14.7519
68 1.6875 0.687428 15.2709
69 1.7125 0.72666 15.836
70 1.7375 0.769363 16.4519
71 1.7625 0.823329 17.13
72 1.7875 0.877066 17.873
73 1.8125 0.948037 18.6989
74 1.8375 0.996529 19.591
75 1.8625 1.04693 20.554
76 1.8875 1.09401 21.5874
77 1.9125 1.13468 22.6878
78 1.9375 1.16808 23.8505
79 1.9625 1.21014 25.0863
80 1.9875 1.23875 26.3838
81 2.0125 1.25109 27.7273
82 2.0375 1.28009 29.1364
83 2.0625 1.27553 30.575
84 2.0875 1.27792 32.0516
85 2.1125 1.26699 33.5508
86 2.1375 1.25268 35.0683
87 2.1625 1.22352 36.5854
88 2.1875 1.19756 38.1049
89 2.2125 1.14669 39.5932
90 2.2375 1.10675 41.0624
91 2.2625 1.06544 42.5085
92 2.2875 1.03086 43.9387
93 2.3125 0.979457 45.3276
94 2.3375 0.951233 46.7057
95 2.3625 0.912997 48.0568
96 2.3875 0.886136 49.3961
97 2.4125 0.868093 50.7358
98 2.4375 0.845109 52.0671
99 2.4625 0.843025 53.4226
100 2.4875 0.827903 54.7809
7000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
