# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 20
18 8.75 0.970545 82.3586
19 9.25 1.01972 97.3711
20 9.75 1.0553 114.632
56000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.114735 0.03125
4 1.75 0.390331 0.238281
5 2.25 0.626292 0.785937
6 2.75 0.756398 1.77266
7 3.25 1.06724 3.71563
8 3.75 1.18608 6.58906
9 4.25 1.08445 9.9625
10 4.75 0.971329 13.7359
11 5.25 0.885814 17.9391
12 5.75 0.966156 23.4375
13 6.25 1.05663 30.5414
14 6.75 1.01824 38.5258
15 7.25 1.03514 47.8891
16 7.75 0.971533 57.9305
17 8.25 0.990387 69.5297
18 8.75 0.970782 82.3187
19 9.25 1.02816 97.4555
20 9.75 1.04852 114.605
57000 20
1 0.25 0 0
2 0.75 0.0622846 0.00625
3 1.25 0.100393 0.0335937
4 1.75 0.431573 0.2625
5 2.25 0.631652 0.814844
6 2.75 0.762387 1.80937
7 3.25 1.05307 3.72656
8 3.75 1.18382 6.59453
9 4.25 1.07968 9.95312
10 4.75 0.969921 13.7211
11 5.25 0.889766 17.943
12 5.75 0.963685 23.4273
13 6.25 1.05849 30.5437
14 6.75 1.01227 38.4813
15 7.25 1.03116 47.8086
16 7.75 0.975615 57.8922
17 8.25 0.999259 69.5953
18 8.75 0.967224 82.3375
19 9.25 1.0307 97.5117
20 9.75 1.0436 114.581
58000 20
1 0.25 0 0
2 0.75 0.0778557 0.0078125
3 1.25 0.163497 0.0523438
4 1.75 0.408006 0.26875
5 2.25 0.645947 0.833594
6 2.75 0.774365 1.84375
7 3.25 1.0299 3.71875
8 3.75 1.18221 6.58281
9 4.25 1.08395 9.95469
10 4.75 0.957654 13.675
11 5.25 0.901621 17.9531
12 5.75 0.961077 23.4227
13 6.25 1.0593 30.5445
14 6.75 1.00848 38.4523
15 7.25 1.02633 47.7359
16 7.75 0.978336 57.8477
17 8.25 1.00566 69.6258
18 8.75 0.968054 82.3789
19 9.25 1.03532 97.6211
20 9.75 1.04073 114.644
59000 20
1 0.25 0 0
2 0.75 0.0700701 0.00703125
3 1.25 0.220864 0.0671875
4 1.75 0.413898 0.286719
5 2.25 0.640586 0.846875
6 2.75 0.780953 1.86563
7 3.25 1.02861 3.73828
8 3.75 1.15996 6.54844
9 4.25 1.09751 9.9625
10 4.75 0.952224 13.6617
11 5.25 0.914134 17.9992
12 5.75 0.962038 23.4742
13 6.25 1.04466 30.4977
14 6.75 1.01286 38.4398
15 7.25 1.02468 47.7086
16 7.75 0.980301 57.8406
17 8.25 1.00666 69.6305
18 8.75 0.966038 82.357
19 9.25 1.04217 97.7
20 9.75 1.0371 114.663
60000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.301179 0.0820312
4 1.75 0.40506 0.296875
5 2.25 0.6388 0.855469
6 2.75 0.791733 1.88828
7 3.25 1.02347 3.75156
8 3.75 1.14383 6.52266
9 4.25 1.09827 9.93906
10 4.75 0.959464 13.6664
11 5.25 0.918744 18.0258
12 5.75 0.962998 23.5063
13 6.25 1.03839 30.4875
14 6.75 1.01406 38.4391
15 7.25 1.01553 47.625
16 7.75 0.990581 57.8633
17 8.25 1.00686 69.6555
18 8.75 0.964911 82.3672
19 9.25 1.04848 97.8031
20 9.75 1.02865 114.628
61000 20
1 0.25 0 0
2 0.75 0.0700701 0.00703125
3 1.25 0.301179 0.0890625
4 1.75 0.438938 0.321875
5 2.25 0.640586 0.882031
6 2.75 0.783947 1.90469
7 3.25 1.02819 3.77656
8 3.75 1.14125 6.54141
9 4.25 1.07742 9.89297
10 4.75 0.965095 13.6422
11 5.25 0.93027 18.0562
12 5.75 0.966156 23.5547
13 6.25 1.02607 30.4531
14 6.75 1.01336 38.3992
15 7.25 1.01648 47.5938
16 7.75 0.996251 57.8906
17 8.25 1.0044 69.6539
18 8.75 0.968054 82.407
19 9.25 1.04981 97.8625
20 9.75 1.0202 114.549
62000 20
1 0.25 0 0
2 0.75 0.0778557 0.0078125
3 1.25 0.31552 0.09375
4 1.75 0.459559 0.3375
5 2.25 0.651308 0.907031
6 2.75 0.777958 1.92188
7 3.25 1.01832 3.77578
8 3.75 1.13287 6.52031
9 4.25 1.09098 9.91406
10 4.75 0.961073 13.6477
11 5.25 0.936032 18.0891
12 5.75 0.96794 23.5977
13 6.25 1.0234 30.4781
14 6.75 1.00719 38.3758
15 7.25 1.01536 47.5602
16 7.75 0.995646 57.8508
17 8.25 0.999926 69.5617
18 8.75 0.978432 82.4516
19 9.25 1.05443 97.975
20 9.75 1.0106 114.505
63000 20
1 0.25 0 0
2 0.75 0.0778557 0.0078125
3 1.25 0.378625 0.110938
4 1.75 0.453667 0.351562
5 2.25 0.652201 0.921875
6 2.75 0.779755 1.93906
7 3.25 1.0166 3.78984
8 3.75 1.12739 6.52109
9 4.25 1.08069 9.88281
10 4.75 0.955442 13.5945
11 5.25 0.950686 18.1055
12 5.75 0.971098 23.632
13 6.25 1.01979 30.4883
14 6.75 1.0031 38.3539
15 7.25 1.01933 47.5742
16 7.75 0.989145 57.7977
17 8.25 1.00013 69.5109
18 8.75 0.982109 82.4492
19 9.25 1.0591 98.0414
20 9.75 1.00362 114.457
64000 20
1 0.25 0 0
2 0.75 0.101212 0.0101563
3 1.25 0.392966 0.117188
4 1.75 0.45514 0.358594
5 2.25 0.658455 0.934375
6 2.75 0.773766 1.94375
7 3.25 1.02389 3.80781
8 3.75 1.12642 6.53672
9 4.25 1.08094 9.89922
10 4.75 0.935532 13.5336
11 5.25 0.965999 18.1172
12 5.75 0.976863 23.6766
13 6.25 1.01747 30.5172
14 6.75 1.0034 38.3852
15 7.25 1.01458 47.5625
16 7.75 0.990959 57.8047
17 8.25 0.997992 69.493
18 8.75 0.992783 82.5719
19 9.25 1.0522 98.0625
20 9.75 0.999801 114.416
65000 20
1 0.25 0 0
2 0.75 0.0778557 0.0078125
3 1.25 0.424518 0.123438
4 1.75 0.447775 0.360938
5 2.25 0.684364 0.959375
6 2.75 0.756398 1.94609
7 3.25 1.03505 3.83047
8 3.75 1.11965 6.54297
9 4.25 1.07366 9.88281
10 4.75 0.930304 13.4969
11 5.25 0.970444 18.1016
12 5.75 0.98359 23.6992
13 6.25 1.01387 30.5156
14 6.75 1.01107 38.4438
