DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (35.36 35.36 35.36)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.062 seconds
2048 atoms in group Ne
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 26 26 26
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.598 | 3.598 | 3.598 Mbytes
   Step          Temp          Press          Volume         TotEng        c_MSD[4]     v_MSD_Slope  
     19000   1.4933962      5.1669429      2433.5509     -2.6114114      187.92589      0.12659449   
     19100   1.524043       5.1688571      2426.1946     -2.5850438      188.1204       0.12625317   
     19200   1.4884164      5.0570667      2441.2372     -2.6078547      188.21936      0.12591331   
     19300   1.5298231      4.9903857      2439.2923     -2.5818128      188.19619      0.12556707   
     19400   1.4893983      4.7855308      2458.7851     -2.6048232      188.48531      0.12521669   
     19500   1.5058042      4.9260258      2454.6088     -2.5682773      188.84045      0.12487807   
     19600   1.4809105      5.2921871      2450.4035     -2.5412495      189.078        0.12454523   
     19700   1.5486184      5.0587924      2443.1828     -2.5196         189.43609      0.1242195    
     19800   1.4874939      5.107485       2455.4497     -2.5603508      189.78487      0.12389891   
     19900   1.5024988      4.9673015      2450.7958     -2.5664006      190.10422      0.12358764   
     20000   1.5294332      5.0196629      2441.8133     -2.5738653      190.66225      0.12329142   
Loop time of 109.659 on 1 procs for 20000 steps with 2048 atoms

Performance: 78790.051 tau/day, 182.384 timesteps/s, 373.523 katom-step/s
99.9% CPU use with 1 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 82.341     | 82.341     | 82.341     |   0.0 | 75.09
Neigh   | 20.457     | 20.457     | 20.457     |   0.0 | 18.66
Comm    | 1.6128     | 1.6128     | 1.6128     |   0.0 |  1.47
Output  | 0.044283   | 0.044283   | 0.044283   |   0.0 |  0.04
Modify  | 4.602      | 4.602      | 4.602      |   0.0 |  4.20
Other   |            | 0.6013     |            |       |  0.55

Nlocal:           2048 ave        2048 max        2048 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:           3790 ave        3790 max        3790 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:          76998 ave       76998 max       76998 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 76998
Ave neighs/atom = 37.59668
Neighbor list builds = 3516
Dangerous builds = 45
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 20000
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 4.072 | 4.072 | 4.072 Mbytes
   Step          Temp          Press          Volume         TotEng        c_MSD[4]     v_MSD_Slope  
