# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 50
22 1.075 2.48037 3.56445
23 1.125 2.14723 4.99463
24 1.175 1.74363 6.26152
25 1.225 1.40306 7.36953
26 1.275 1.13368 8.33936
27 1.325 0.951564 9.21846
28 1.375 0.818666 10.0329
29 1.425 0.748409 10.8326
30 1.475 0.697006 11.6307
31 1.525 0.671473 12.4524
32 1.575 0.689854 13.3529
33 1.625 0.702172 14.3286
34 1.675 0.745104 15.4287
35 1.725 0.830151 16.7286
36 1.775 0.889335 18.2031
37 1.825 0.966443 19.897
38 1.875 1.04534 21.8309
39 1.925 1.13889 24.0517
40 1.975 1.18821 26.4905
41 2.025 1.21007 29.1017
42 2.075 1.20725 31.8369
43 2.125 1.17384 34.6262
44 2.175 1.12182 37.4188
45 2.225 1.06196 40.1853
46 2.275 1.01422 42.9473
47 2.325 0.961603 45.6824
48 2.375 0.93311 48.452
49 2.425 0.906695 51.2577
50 2.475 0.898034 54.1523
10000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00629497 0.00253906
19 0.925 0.283248 0.130176
20 0.975 1.30429 0.783203
21 1.025 2.30811 2.06035
22 1.075 2.44776 3.5501
23 1.125 2.17056 4.99688
24 1.175 1.75236 6.271
25 1.225 1.41279 7.3875
26 1.275 1.13718 8.36104
27 1.325 0.955585 9.24453
28 1.375 0.82812 10.069
29 1.425 0.731223 10.851
30 1.475 0.698937 11.6518
31 1.525 0.672286 12.4751
32 1.575 0.671926 13.3528
33 1.625 0.704308 14.3322
34 1.675 0.756098 15.4493
35 1.725 0.817226 16.7299
36 1.775 0.889329 18.2054
37 1.825 0.970407 19.9073
38 1.875 1.06461 21.8782
39 1.925 1.12165 24.067
40 1.975 1.18013 26.491
41 2.025 1.19383 29.0689
42 2.075 1.21046 31.8134
43 2.125 1.17071 34.5972
44 2.175 1.1367 37.4288
45 2.225 1.07315 40.2265
46 2.275 1.02017 43.0068
47 2.325 0.973439 45.7776
48 2.375 0.927928 48.5338
49 2.425 0.90572 51.3385
50 2.475 0.890426 54.2106
11000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00848459 0.00341797
19 0.925 0.291127 0.134473
20 0.975 1.33003 0.799512
21 1.025 2.29295 2.0666
22 1.075 2.43363 3.5457
23 1.125 2.15733 4.98154
24 1.175 1.75455 6.25547
25 1.225 1.41009 7.36826
26 1.275 1.12479 8.32988
27 1.325 0.950413 9.20732
28 1.375 0.826464 10.0291
29 1.425 0.743966 10.8235
30 1.475 0.710926 11.6369
31 1.525 0.686021 12.4759
32 1.575 0.689454 13.3753
33 1.625 0.698119 14.3446
34 1.675 0.755805 15.4598
35 1.725 0.816926 16.7382
36 1.775 0.893594 18.2187
37 1.825 0.965199 19.9092
38 1.875 1.0485 21.8477
39 1.925 1.11395 24.0183
40 1.975 1.16845 26.415
41 2.025 1.20912 29.0224
42 2.075 1.19905 31.7371
43 2.125 1.17238 34.5212
44 2.175 1.14285 37.3642
45 2.225 1.06945 40.1482
46 2.275 1.02398 42.9351
47 2.325 0.974627 45.7055
48 2.375 0.933092 48.473
49 2.425 0.905028 51.2717
50 2.475 0.888073 54.1323
